year,month,day,latitude,longitude,nkill,nkillus,nkillter
2008,1,6,32.301964,69.590665,3,0,0
2008,1,6,32.483389,69.626894,5,0,0
2008,1,6,32.301964,69.590665,3,0,0
2008,1,7,32.301964,69.590665,5,0,0
2008,1,7,32.329315,69.856396,1,0,0
2008,1,8,32.346869,69.757253,0,0,0
2008,1,16,32.320237,69.859741,47,0,40
2008,1,23,33.492778,70.449722,2,0,1
2008,1,28,34.547772,71.46673,3,0,0
2008,2,1,32.926684,69.920086,7,0,1
2008,2,12,32.969967,70.276797,11,0,1
2008,2,16,33.896729,70.099832,38,0,1
2008,2,16,34.735879,71.525833,0,0,0
2008,2,26,33.70613,70.328641,0,0,0
2008,3,1,34.735879,71.525833,2,0,1
2008,3,2,33.694214,71.496152,43,0,1
2008,3,16,33.694214,71.496152,0,0,0
2008,3,17,34.321636,71.402042,0,0,0
2008,3,17,34.321636,71.402042,0,0,0
2008,3,17,34.321189,71.410107,0,0,0
2008,3,17,34.321636,71.402042,0,0,0
2008,3,17,34.321636,71.402042,0,0,0
2008,3,20,32.301964,69.590665,6,0,1
2008,3,25,32.998617,70.067081,1,0,0
2008,3,27,33.896729,70.099832,6,0,0
2008,3,28,32.667476,69.859741,0,0,0
2008,4,1,33.694214,71.496152,0,0,0
2008,4,2,33.694214,71.496152,0,0,0
2008,4,5,33.695975,70.336069,2,0,1
2008,4,5,33.695975,70.336069,2,0,0
2008,4,6,34.735879,71.525833,0,0,0
2008,4,7,33.908578,71.070055,0,0,0
2008,4,21,34.1167788,71.1665154,2,0,0
2008,4,21,33.908578,71.070055,0,0,0
2008,4,23,32.998617,70.067081,1,0,0
2008,4,23,32.974638,70.14558,1,0,0
2008,4,23,32.998617,70.067081,1,0,0
2008,4,27,32.320237,69.859741,1,0,0
2008,4,27,34.565494,71.477429,1,0,0
2008,4,29,34.565494,71.477429,0,0,0
2008,5,1,33.908578,71.070055,1,0,1
2008,5,12,34.565494,71.477429,0,0,0
2008,5,13,34.565494,71.477429,0,0,0
2008,5,14,33.694214,71.496152,0,0,0
2008,5,19,34.856902,71.429936,3,0,0
2008,5,22,34.856902,71.429936,1,0,0
2008,5,22,34.321636,71.402042,0,0,0
2008,5,22,34.565494,71.477429,0,0,0
2008,5,24,34.565494,71.477429,0,0,0
2008,6,3,33.695975,70.336069,4,0,0
2008,6,7,33.694214,71.496152,0,0,0
2008,6,8,34.119766,71.104745,0,0,0
2008,6,9,33.695975,70.336069,1,0,0
2008,6,11,34.856902,71.429936,1,0,0
2008,6,12,33.908578,71.070055,2,0,0
2008,6,12,32.906338,69.747222,5,0,0
2008,6,19,33.695856,70.336075,7,0,0
2008,6,23,32.332475,70.118391,12,0,2
2008,6,27,34.856902,71.429936,2,0,0
2008,7,4,34.565494,71.477429,0,0,0
2008,7,8,33.694214,71.496152,0,0,0
2008,7,10,33.695975,70.336069,3,0,0
2008,7,10,33.623889,70.305556,0,0,0
2008,7,10,33.562519,70.326912,3,0,0
2008,7,10,34.1167788,71.1665154,0,0,0
2008,7,11,34.856902,71.429936,1,0,0
2008,7,18,32.320237,69.859741,3,0,0
2008,7,21,32.320237,69.859741,2,0,0
2008,7,29,34.565494,71.477429,1,0,0
2008,7,30,33.0073,70.0652,1,0,0
2008,7,30,32.998617,70.067081,1,0,0
2008,8,3,34.856902,71.429936,1,0,0
2008,8,11,34.856902,71.429936,2,0,0
2008,8,13,33.908578,71.070055,1,0,1
2008,8,18,32.320237,69.859741,1,0,0
2008,8,20,34.565494,71.477429,1,0,0
2008,8,0,34.856902,71.429936,1,0,0
2008,9,10,34.565494,71.477429,3,0,0
2008,9,18,34.565494,71.477429,0,0,0
2008,9,18,34.565494,71.477429,0,0,0
2008,10,17,32.998617,70.067081,0,0,0
2008,10,17,32.320237,69.859741,1,0,0
2008,10,18,32.998617,70.067081,0,0,0
2008,10,19,33.908578,71.070055,1,0,0
2008,10,23,33.697271,71.144852,8,0,0
2008,10,25,32.998617,70.067081,0,0,0
2008,10,29,34.565494,71.477429,0,0,0
2008,11,1,34.574856,71.276081,2,0,0
2008,11,1,33.697271,71.144852,0,0,0
2008,11,1,33.697271,71.144852,0,0,0
2008,11,1,33.697271,71.144852,0,0,0
2008,11,1,33.908578,71.070055,0,0,0
2008,11,3,32.515069,69.288527,0,0,0
2008,11,4,33.697271,71.144852,1,0,0
2008,11,6,34.733076,71.492391,18,0,1
2008,11,8,32.998617,70.067081,2,0,0
2008,11,10,33.908578,71.070055,0,0,0
2008,11,17,34.856902,71.429936,9,0,2
2008,11,19,34.856902,71.429936,9,0,1
2008,11,20,34.856902,71.429936,10,0,1
2008,11,20,33.695975,70.336069,0,0,0
2008,11,20,33.697271,71.144852,2,0,0
